Title,Genres,Review Score,Price,Release Console,Release Year
Super Mario 64 DS,Action,85,24.95,Nintendo DS,2004
Lumines: Puzzle Fusion,Strategy,89,14.95,Sony PSP,2004
WarioWare Touched!,"Action Racing Driving Sports",81,22.95,Nintendo DS,2004
Hot Shots Golf: Open Tee,Sports,81,12.95,Sony PSP,2004
Spider-Man 2,Action,61,14.95,Nintendo DS,2004
The Urbz: Sims in the City,Simulation,67,12.95,Nintendo DS,2004
Ridge Racer,Racing  Driving,88,19.95,Sony PSP,2004
Metal Gear Ac!d,Strategy,75,17.95,Sony PSP,2004
Madden NFL 2005,Sports,68,8.95,Nintendo DS,2004
Pokmon Dash,Racing Driving,46,24.95,Nintendo DS,2004
Dynasty Warriors,"Action Adventure Role-Playing (RPG)",62,14.95,Sony PSP,2004
Feel the Magic XY XX,"Action Adventure Racing   Driving Sports",75,8.95,Nintendo DS,2004
Ridge Racer DS,Racing   Driving,63,9.95,Nintendo DS,2004
Darkstalkers Chronicle: The Chaos Tower,Action,74,14.95,Sony PSP,2004
